Table S13. Domain architectures of high-confidence lysins identified in the GCSV.,,,,,,,,,,,
vPC_id,Sequence.length,Analysis,Signature.accession,Signature.description,Start.location,Stop.location,E-value,InterPro.annotations-accession,InterPro.annotations.-description,GO.annotation,Pathways.annotations
P11_k141_1380981_length_59028_cov_29.0354_82,116,Pfam,PF01471,Putative peptidoglycan binding domain,15,70,4.8E-12,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
P11_k141_1870827_length_5922_cov_8.0000_9,142,Pfam,PF08291,Peptidase M15,19,128,0.000000002,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P11_k141_2517988_length_48068_cov_9.9983_36,248,Pfam,PF01471,Putative peptidoglycan binding domain,14,72,0.000000019,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
P11_k141_2657524_length_16056_cov_18.3701_28,154,Pfam,PF00877,NlpC/P60 family,18,111,0.0000014,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
P11_k141_2686669_length_5394_cov_8.0000_2,258,Pfam,PF01551,Peptidase family M23,41,120,2.5E-17,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P11_k141_3375514_length_5494_cov_8.0000_3,193,Pfam,PF05838,Glycosyl hydrolase 108,12,105,1E-11,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
P11_k141_35558_length_140294_cov_20.7012_60,213,Pfam,PF01551,Peptidase family M23,89,184,1.1E-30,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P11_k141_3624942_length_14259_cov_9.0000_9,148,Pfam,PF00877,NlpC/P60 family,30,142,0.0000022,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
P11_k141_3790038_length_6027_cov_7.0000_7,119,Pfam,PF08291,Peptidase M15,18,106,6.8E-10,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P11_k141_3993431_length_37036_cov_11.0000_4,583,Pfam,PF01183,Glycosyl hydrolases family 25,342,522,3.3E-31,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P11_k141_4133561_length_33151_cov_12.9920_32,182,Pfam,PF00877,NlpC/P60 family,52,160,2.6E-09,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
P12_k141_1116328_length_51455_cov_17.1445_82,121,Pfam,PF08291,Peptidase M15,10,107,2.1E-10,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P12_k141_1516270_length_9997_cov_38.0000_8,360,Pfam,PF01551,Peptidase family M23,262,356,1.7E-21,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P12_k141_1691389_length_23559_cov_32.8926_4,511,Pfam,PF01551,Peptidase family M23,37,128,4.3E-14,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P12_k141_2032689_length_9164_cov_7.9147_1,207,Pfam,PF01464,Transglycosylase SLT domain,119,207,3.2E-09,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P12_k141_2255718_length_7946_cov_8.0000_3,227,Pfam,PF01551,Peptidase family M23,26,114,1.8E-11,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P12_k141_285662_length_10850_cov_41.3639_9,194,Pfam,PF01464,Transglycosylase SLT domain,52,153,2.3E-10,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P12_k141_3168281_length_61744_cov_23.3383_16,399,Pfam,PF01551,Peptidase family M23,258,354,1.3E-29,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P12_k141_3304009_length_8629_cov_12.3321_2,524,Pfam,PF01551,Peptidase family M23,37,130,1.7E-12,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P12_k141_3375143_length_65188_cov_16.0000_30,256,Pfam,PF13529,Peptidase_C39 like family,72,218,0.000000032,IPR039564,Peptidase C39-like,-,-
P12_k141_3596321_length_35105_cov_18.0000_35,196,Pfam,PF01464,Transglycosylase SLT domain,61,161,5E-14,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P12_k141_3601644_length_5127_cov_5.0000_5,122,Pfam,PF08291,Peptidase M15,7,109,3.9E-14,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P12_k141_3685720_length_15035_cov_11.8486_19,204,Pfam,PF08291,Peptidase M15,56,171,5.5E-12,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P12_k141_3717730_length_17639_cov_11.0000_11,212,Pfam,PF01551,Peptidase family M23,86,181,7.2E-33,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P12_k141_711659_length_22212_cov_15.2109_18,257,Pfam,PF01183,Glycosyl hydrolases family 25,6,190,8.1E-13,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P12_k141_830829_length_43272_cov_28.1547_11,204,Pfam,PF01464,Transglycosylase SLT domain,53,149,1.3E-19,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P12_k141_863033_length_10504_cov_12.7495_3,176,Pfam,PF01464,Transglycosylase SLT domain,34,111,3.8E-11,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P12_k141_871109_length_39638_cov_12.8499_40,153,Pfam,PF00877,NlpC/P60 family,28,118,0.00000002,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
P12_k141_994098_length_9117_cov_10.0000_4,361,Pfam,PF01551,Peptidase family M23,263,356,3.5E-21,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P13_k141_1123450_length_6755_cov_17.0000_5,363,Pfam,PF01551,Peptidase family M23,264,357,1.1E-16,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P13_k141_1370937_length_13679_cov_36.3744_5,119,Pfam,PF08291,Peptidase M15,6,100,4.6E-11,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P13_k141_1574209_length_51461_cov_12.1607_59,139,Pfam,PF08291,Peptidase M15,7,118,2.2E-11,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P13_k141_2143737_length_6176_cov_9.0000_7,150,Pfam,PF00959,Phage lysozyme,20,131,7.1E-09,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P13_k141_238934_length_77775_cov_13.3225_43,840,Pfam,PF01551,Peptidase family M23,443,535,5.8E-20,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P13_k141_2415128_length_40288_cov_10.0000_1_12,1788,Pfam,PF00959,Phage lysozyme,23,161,0.00000018,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P13_k141_295295_length_44014_cov_120.9295_64,174,Pfam,PF01832,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,48,158,2.4E-11,IPR002901,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain,GO:0004040(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
P13_k141_3078587_length_5232_cov_13.7690_8,361,Pfam,PF01551,Peptidase family M23,264,357,3.1E-21,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P13_k141_3231655_length_50191_cov_24.8020_48,148,Pfam,PF00959,Phage lysozyme,10,128,3.7E-09,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P13_k141_3835820_length_10306_cov_8.0000_11,188,Pfam,PF01551,Peptidase family M23,26,134,2E-19,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P13_k141_3889278_length_39579_cov_9.0000_47,166,Pfam,PF01464,Transglycosylase SLT domain,30,148,3.9E-10,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P13_k141_4259035_length_43676_cov_14.6784_6,145,Pfam,PF08291,Peptidase M15,49,132,4.4E-09,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P13_k141_4344513_length_5237_cov_9.0000_4,153,Pfam,PF01464,Transglycosylase SLT domain,32,131,1.2E-12,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P13_k141_629728_length_43170_cov_28.4425_2,301,Pfam,PF01183,Glycosyl hydrolases family 25,83,280,1.1E-20,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P14_k141_1138971_length_10819_cov_8.0000_14,265,Pfam,PF01551,Peptidase family M23,55,159,0.00000021,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P14_k141_1341127_length_58633_cov_10.0000_48,2067,Pfam,PF01464,Transglycosylase SLT domain,1639,1728,0.0000034,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P14_k141_1463823_length_12460_cov_23.8359_21,112,Pfam,PF01471,Putative peptidoglycan binding domain,14,71,4.5E-13,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
P14_k141_1938830_length_48157_cov_14.9758_22,125,Pfam,PF08291,Peptidase M15,9,113,0.000000009,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P14_k141_2049175_length_34725_cov_21.4066_1_20,380,Pfam,PF01520,N-acetylmuramoyl-L-alanine amidase,197,358,0.0000015,IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain",GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1822|MetaCyc:PWY-5497|MetaCyc:PWY-5784|MetaCyc:PWY-5846|MetaCyc:PWY-6409|MetaCyc:PWY-6899|MetaCyc:PWY-7018|MetaCyc:PWY-7403|MetaCyc:PWY-7430|MetaCyc:PWY-7496|MetaCyc:PWY-7571|MetaCyc:PWY-7652|MetaCyc:PWY-7771|MetaCyc:PWY-7821|MetaCyc:PWY-7850|MetaCyc:PWY-7883|MetaCyc:PWY-8229|MetaCyc:PWY-8293|MetaCyc:PWY-8402|MetaCyc:PWY-8418|MetaCyc:PWY-8431|MetaCyc:PWY-8432|MetaCyc:PWY-8453
P14_k141_2106821_length_12386_cov_9.9160_6,175,Pfam,PF08291,Peptidase M15,64,123,0.00000028,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P14_k141_2271242_length_43241_cov_30.0094_74,256,Pfam,PF01551,Peptidase family M23,27,117,9.6E-22,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P14_k141_2803545_length_9466_cov_6.0000_3,704,Pfam,PF18013,Phage tail lysozyme,15,139,5.2E-21,IPR041219,Phage tail lysozyme,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
P14_k141_4013804_length_6765_cov_73.8829_4,164,Pfam,PF07486,Cell Wall Hydrolase,37,159,3.8E-12,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
P14_k141_4343377_length_41396_cov_50.9976_20,150,Pfam,PF01464,Transglycosylase SLT domain,9,119,3.6E-19,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P14_k141_4447198_length_11105_cov_23.9256_8,125,Pfam,PF08291,Peptidase M15,29,111,2.3E-14,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P14_k141_4539376_length_8548_cov_12.0000_13,157,Pfam,PF01464,Transglycosylase SLT domain,30,133,5.6E-14,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P14_k141_4711467_length_12674_cov_24.3412_17,209,Pfam,PF01551,Peptidase family M23,86,185,1.3E-20,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P14_k141_4744572_length_24023_cov_16.0000_5,205,Pfam,PF01464,Transglycosylase SLT domain,77,185,1.1E-15,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P14_k141_4921188_length_7272_cov_9.0000_7,146,CDD,cd06583,PGRP,4,132,4.1711E-17,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P14_k141_547828_length_63284_cov_34.9908_28,76,Pfam,PF01471,Putative peptidoglycan binding domain,10,70,7.5E-09,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
